run_id,timestamp,script,config,commit,dirty,exit_code,r,r2,note
2026-02-20_171252_89f5757,2026-02-20_171252,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-20_171252_89f5757\config.txt,89f575704ef4360b1c74c6833b9f878d0d7327ab,True,120,,0.450567,baseline v5
2026-02-20_171708_6880b5b,2026-02-20_171708,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-20_171708_6880b5b\config.txt,6880b5b162af04a8b6fcfbab2db698681ff0ad81,True,120,,0.45056700706481934,baseline v5
2026-02-20_172318_6880b5b,2026-02-20_172318,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-20_172318_6880b5b\config.txt,6880b5b162af04a8b6fcfbab2db698681ff0ad81,True,120,,0.45056700706481934,baseline v5
2026-02-20_200745_60640d0,2026-02-20_200745,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-20_200745_60640d0\config.txt,60640d01ed2069b49e9b1f54a32dce9816a0d70c,True,1,,,baseline v5
2026-02-20_200803_60640d0,2026-02-20_200803,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-20_200803_60640d0\config.txt,60640d01ed2069b49e9b1f54a32dce9816a0d70c,True,1,,,"update with pearson r, same data as before"
2026-02-20_200838_60640d0,2026-02-20_200838,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-20_200838_60640d0\config.txt,60640d01ed2069b49e9b1f54a32dce9816a0d70c,True,1,,,"update with pearson r, same data as before"
2026-02-21_131821_0458e66,2026-02-21_131821,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-21_131821_0458e66\config.txt,0458e6624149b3015163f13ee39b5b9b32f570be,False,1,,,"update with pearson r, same data as before"
2026-02-21_131843_0458e66,2026-02-21_131843,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-21_131843_0458e66\config.txt,0458e6624149b3015163f13ee39b5b9b32f570be,True,120,0.6734338998794556,0.45056700706481934,"update with pearson r, same data as before"
2026-02-21_141359_cd8214d,2026-02-21_141359,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-21_141359_cd8214d\config.txt,cd8214d72ad2eb9bae285cbdcb5221fadc1799ff,True,120,0.6734338998794556,0.45056700706481934,transformer encoder
2026-02-21_142916_cd8214d,2026-02-21_142916,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-21_142916_cd8214d\config.txt,cd8214d72ad2eb9bae285cbdcb5221fadc1799ff,True,120,0.6734338998794556,0.45056700706481934,transformer encoder
2026-02-21_150426_cd8214d,2026-02-21_150426,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-21_150426_cd8214d\config.txt,cd8214d72ad2eb9bae285cbdcb5221fadc1799ff,True,120,0.6325183510780334,0.3994354009628296,transformer encoder
2026-02-21_151155_cd8214d,2026-02-21_151155,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-21_151155_cd8214d\config.txt,cd8214d72ad2eb9bae285cbdcb5221fadc1799ff,True,120,0.6914682984352112,0.4736021161079407,"transformer, with updated layers to 1 and updated dropout to 0."
2026-02-21_152848_bb8334b,2026-02-21_152848,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-21_152848_bb8334b\config.txt,bb8334b4af60303bafc45f86b2d0a9e9963f276d,True,120,0.6914682984352112,0.4736021161079407,"transformer, with encoder pool now set to first and updated dimensions to 7"
2026-02-21_153547_bb8334b,2026-02-21_153547,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-21_153547_bb8334b\config.txt,bb8334b4af60303bafc45f86b2d0a9e9963f276d,True,120,0.6969160437583923,0.48338133096694946,"transformer, with encoder pool now set to first and updated dimensions to 7"
2026-02-21_154245_bb8334b,2026-02-21_154245,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-21_154245_bb8334b\config.txt,bb8334b4af60303bafc45f86b2d0a9e9963f276d,True,120,0.6919761896133423,0.473111093044281,"transformer, lr=0.001, lambda_transition = 0.005, lambda_lle=0.005, lambda_smooth = 0.0002, encoder_heads = 2, encoder_ffn_dim = 256"
2026-02-21_161152_bb8334b,2026-02-21_161152,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-21_161152_bb8334b\config.txt,bb8334b4af60303bafc45f86b2d0a9e9963f276d,True,120,0.6835808753967285,0.4532628655433655,non-autonomous ODE
2026-02-21_162126_bb8334b,2026-02-21_162126,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-21_162126_bb8334b\config.txt,bb8334b4af60303bafc45f86b2d0a9e9963f276d,True,3221226505,0.6835809,0.45326287,trying witha bidirectional
2026-02-21_162821_bb8334b,2026-02-21_162821,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-21_162821_bb8334b\config.txt,bb8334b4af60303bafc45f86b2d0a9e9963f276d,True,120,0.6739253401756287,0.4420887231826782,trying witha bidirectional
2026-02-22_120230_f934d5c,2026-02-22_120230,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-22_120230_f934d5c\config.txt,f934d5c83afc01eabde09ed037b49335a32cceba,True,1,,,using gru type as encoder
2026-02-22_120501_f934d5c,2026-02-22_120501,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-22_120501_f934d5c\config.txt,f934d5c83afc01eabde09ed037b49335a32cceba,True,120,0.5579150915145874,0.25045210123062134,using gru type as encoder
2026-02-22_122839_31ab69e,2026-02-22_122839,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-22_122839_31ab69e\config.txt,31ab69ee0654878aaed4aaa1a9c170b85e1ff944,True,120,0.22872048616409302,-0.2524588108062744,"trying exact same eval process at MIND algo on random 10% of trials, plus computation of R2 in the exact same way as MIND."
2026-02-22_123643_31ab69e,2026-02-22_123643,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-22_123643_31ab69e\config.txt,31ab69ee0654878aaed4aaa1a9c170b85e1ff944,True,120,0.22101297974586487,-0.14242708683013916,"trying exact same eval process at MIND algo on random 10% of trials, plus computation of R2 in the exact same way as MIND, but this time with GRU."
2026-02-22_131950_31ab69e,2026-02-22_131950,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-22_131950_31ab69e\config.txt,31ab69ee0654878aaed4aaa1a9c170b85e1ff944,True,120,0.22101298,-0.14242709,"trying exact same eval process at MIND algo on random 10% of trials, plus computation of R2 in the exact same way as MIND, but this time with GRU, running it back with baseline_correct=false"
2026-02-22_132009_31ab69e,2026-02-22_132009,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-22_132009_31ab69e\config.txt,31ab69ee0654878aaed4aaa1a9c170b85e1ff944,True,120,0.22101298,-0.14242709,"trying exact same eval process at MIND algo on random 10% of trials, plus computation of R2 in the exact same way as MIND, but this time with GRU, running it back with baseline_correct=false"
2026-02-22_133143_3686bcc,2026-02-22_133143,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-22_133143_3686bcc\config.txt,3686bcc6fea1b90990b93a65c56a7a0e69080e86,True,1,0.22101298,-0.14242709,attempting to eradicate data leakage
2026-02-22_133223_3686bcc,2026-02-22_133223,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-22_133223_3686bcc\config.txt,3686bcc6fea1b90990b93a65c56a7a0e69080e86,True,120,0.6919761896133423,0.473111093044281,attempting to eradicate data leakage
2026-02-22_135441_3686bcc,2026-02-22_135441,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-22_135441_3686bcc\config.txt,3686bcc6fea1b90990b93a65c56a7a0e69080e86,True,120,0.3756598234176636,-0.12369471788406372,"same game, but this go round with mind-style random split."
2026-02-22_140448_3686bcc,2026-02-22_140448,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-22_140448_3686bcc\config.txt,3686bcc6fea1b90990b93a65c56a7a0e69080e86,True,120,0.6919761896133423,0.473111093044281,back to last k trials
2026-02-22_142537_bbc402e,2026-02-22_142537,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-22_142537_bbc402e\config.txt,bbc402ef04e6f19ad7e96effdd269c455b40ecc5,True,120,0.6852681040763855,0.4645347595214844,turned off lambda smooth for a test.
2026-02-22_143828_bbc402e,2026-02-22_143828,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-22_143828_bbc402e\config.txt,bbc402ef04e6f19ad7e96effdd269c455b40ecc5,True,120,0.6913037300109863,0.4742664098739624,increased lambda smooth by a bit
2026-02-22_144320_bbc402e,2026-02-22_144320,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-22_144320_bbc402e\config.txt,bbc402ef04e6f19ad7e96effdd269c455b40ecc5,True,120,0.6913037300109863,0.4742664098739624,increased lambda smooth by a bit
2026-02-22_151349_21f3fd4,2026-02-22_151349,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-22_151349_21f3fd4\config.txt,21f3fd4a229271ad44cb7d0220c2b2b42df303af,True,120,0.6913037300109863,0.4742664098739624,just for giggles seeing what it looks like if scores for r2 and r are computed in pca space
2026-02-22_155529_e7f3cc6,2026-02-22_155529,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-22_155529_e7f3cc6\config.txt,e7f3cc6437e4fadea851498d71678c51e334db7c,True,120,0.6658388376235962,0.4010249972343445,running on no leakage
2026-02-22_155909_e7f3cc6,2026-02-22_155909,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-22_155909_e7f3cc6\config.txt,e7f3cc6437e4fadea851498d71678c51e334db7c,True,120,0.8627123236656189,0.7241154909133911,running computations in pca space
2026-02-22_160802_b03d3ed,2026-02-22_160802,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-22_160802_b03d3ed\config.txt,b03d3edb35c7b8941fcb5727f455ae678c290974,True,120,0.7794255614280701,0.6049110293388367,running no PCA
2026-02-22_162616_6cecbcc,2026-02-22_162616,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-22_162616_6cecbcc\config.txt,6cecbcce751fcfcbc8a289120651869eaac1bc60,True,1,,,r & r2 sweep 1-10
2026-02-22_162858_78db698,2026-02-22_162858,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-22_162858_78db698\config.txt,78db69887d8511bc8f7d16f3bf8c8bea3b358466,True,120,0.77942556,0.604911,r & r2 sweep 1-10
2026-02-22_164235_78db698,2026-02-22_164235,C:\Users\schot\Neural_VAE_ODE\src\v5_neural_vae.py,C:\Users\schot\Neural_VAE_ODE\runs\2026-02-22_164235_78db698\config.txt,78db69887d8511bc8f7d16f3bf8c8bea3b358466,True,120,0.77942556,0.604911,r & r2 sweep 1-10 with updated rtol and atol
2026-04-18_080657_84ee5a4,2026-04-18_080657,/home/4429/projects/Neural_VAE_ODE/src/v5_neural_vae.py,/home/4429/projects/Neural_VAE_ODE/runs/2026-04-18_080657_84ee5a4/config.txt,84ee5a44da4d3ba58e064926ba0c8fe33c127403,True,120,0.7690040469169617,0.5840855836868286,baseline v5
2026-04-18_180111_880075a,2026-04-18_180111,/home/4429/projects/Neural_VAE_ODE/src/v5_neural_vae.py,/home/4429/projects/Neural_VAE_ODE/runs/2026-04-18_180111_880075a/config.txt,880075abebe645c76f7c6dd3248d888d5965c584,True,-9,0.76900405,0.5840856,baseline v5
2026-04-18_180211_880075a,2026-04-18_180211,/home/4429/projects/Neural_VAE_ODE/src/v5_neural_vae.py,/home/4429/projects/Neural_VAE_ODE/runs/2026-04-18_180211_880075a/config.txt,880075abebe645c76f7c6dd3248d888d5965c584,True,-9,0.76900405,0.5840856,baseline v5
2026-04-18_203209_3730f0b,2026-04-18_203209,/home/4429/projects/Neural_VAE_ODE/src/v5_neural_vae.py,/home/4429/projects/Neural_VAE_ODE/runs/2026-04-18_203209_3730f0b/config.txt,3730f0bacc4ca92f52bf03eab0701e30bc3278ae,True,-9,0.76900405,0.5840856,updating to hopefully save the model better pt
2026-04-18_203515_e729233,2026-04-18_203515,/home/4429/projects/Neural_VAE_ODE/src/v5_neural_vae.py,/home/4429/projects/Neural_VAE_ODE/runs/2026-04-18_203515_e729233/config.txt,e729233cbd9e85d1b0649edda6d1f382a0e918ab,True,-9,,,updating to hopefully save the model better pt---still buggin
2026-04-19_085107_e729233,2026-04-19_085107,/home/4429/projects/Neural_VAE_ODE/src/v5_neural_vae.py,/home/4429/projects/Neural_VAE_ODE/runs/2026-04-19_085107_e729233/config.txt,e729233cbd9e85d1b0649edda6d1f382a0e918ab,True,-9,,,updating to hopefully save the model better pt---still buggin
